"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::fusion","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000363089","0.088","0.0","0.0","0.041","0.0",,"0.0","0.824","0.815"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000263341","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000263341","0.052","0.0","0.0","0.0","0.0",,"0.0","0.86","0.859"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000385675","0.055","0.0","0.4","0.0","0.0",,"0.0","0.905","0.846"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000398698","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000398698","0.062","0.0","0.0","0.0","0.0",,"0.0","0.922","0.921"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000367851","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000367851","0.082","0.0","0.9","0.058","0.0",,"0.0","0.955","0.549"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000358548","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000358548","0.063","0.0","0.9","0.275","0.0",,"0.0","0.97","0.62"
"pp","9606.ENSP00000263025 (pp) 9606.ENSP00000407586","false","pp","9606.ENSP00000263025 (pp) 9606.ENSP00000407586","0.061","0.0","0.9","0.098","0.0",,"0.0","0.983","0.829"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000498321","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000498321","0.06","0.0","0.0","0.095","0.0",,"0.0","0.414","0.366"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000295897","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000295897","0.042","0.0","0.0","0.0","0.0",,"0.0","0.551","0.551"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000398698","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000398698","0.068","0.0","0.0","0.0","0.0",,"0.0","0.609","0.598"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000385675","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000385675","0.065","0.0","0.0","0.0","0.0",,"0.0","0.635","0.625"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000263341","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000263341","0.081","0.0","0.0","0.0","0.0",,"0.0","0.637","0.621"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000364210","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000364210","0.074","0.0","0.9","0.0","0.0",,"0.0","0.93","0.309"
"pp","9606.ENSP00000263317 (pp) 9606.ENSP00000363089","false","pp","9606.ENSP00000263317 (pp) 9606.ENSP00000363089","0.081","0.0","0.0","0.512","0.0",,"0.0","0.996","0.993"
