interaction,stringdb::score,stringdb::experiments,stringdb::coexpression,stringdb::cooccurrence,stringdb::textmining
pp,0.71,0.046,0.099,0.0,0.69
pp,0.748,0.045,0.06,0.0,0.742
pp,0.771,0.0,0.093,0.0,0.758
pp,0.772,0.095,0.058,0.0,0.754
pp,0.857,0.0,0.074,0.0,0.852
pp,0.857,0.0,0.083,0.0,0.85
pp,0.921,0.0,0.171,0.0,0.909
pp,0.923,0.0,0.1,0.0,0.918
pp,0.959,0.0,0.092,0.0,0.594
pp,0.983,0.045,0.092,0.0,0.982
pp,0.991,0.071,0.06,0.0,0.985
pp,0.998,0.0,0.1,0.0,0.997
pp,0.705,0.0,0.0,0.0,0.705
pp,0.711,0.0,0.0,0.27,0.621
pp,0.727,0.0,0.0,0.0,0.727
pp,0.742,0.0,0.056,0.0,0.738
pp,0.745,0.069,0.053,0.0,0.734
pp,0.782,0.0,0.044,0.0,0.782
pp,0.797,0.0,0.0,0.0,0.797
pp,0.821,0.0,0.0,0.0,0.821
pp,0.824,0.0,0.0,0.0,0.824
pp,0.852,0.0,0.0,0.0,0.852
pp,0.87,0.0,0.0,0.0,0.87
pp,0.926,0.0,0.0,0.0,0.926
pp,0.998,0.103,0.089,0.0,0.997
pp,0.962,0.948,0.072,0.0,0.27
pp,0.724,0.0,0.072,0.0,0.715
pp,0.749,0.0,0.625,0.0,0.358
pp,0.788,0.0,0.065,0.0,0.783
pp,0.789,0.0,0.206,0.0,0.745
pp,0.851,0.0,0.142,0.0,0.834
pp,0.882,0.0,0.0,0.0,0.882
pp,0.967,0.0,0.093,0.0,0.966
pp,0.775,0.0,0.455,0.0,0.605
pp,0.85,0.0,0.584,0.0,0.655
pp,0.903,0.0,0.662,0.0,0.725
pp,0.703,0.0,0.14,0.0,0.669
pp,0.783,0.045,0.063,0.0,0.777
pp,0.787,0.057,0.159,0.0,0.753
pp,0.824,0.045,0.307,0.0,0.756
pp,0.852,0.045,0.114,0.0,0.84
pp,0.882,0.045,0.099,0.0,0.397
pp,0.978,0.045,0.264,0.0,0.972
pp,0.999,0.294,0.142,0.0,0.995
pp,0.718,0.0,0.049,0.0,0.716
pp,0.79,0.0,0.093,0.0,0.779
pp,0.79,0.0,0.06,0.0,0.786
pp,0.807,0.047,0.0,0.0,0.806
pp,0.858,0.201,0.042,0.0,0.829
pp,0.867,0.645,0.049,0.0,0.639
pp,0.991,0.292,0.055,0.0,0.988
pp,0.996,0.337,0.0,0.0,0.995
pp,0.956,0.495,0.055,0.0,0.2
pp,0.98,0.758,0.055,0.0,0.24
pp,0.702,0.0,0.0,0.0,0.702
pp,0.745,0.0,0.115,0.0,0.724
pp,0.758,0.0,0.0,0.0,0.758
pp,0.776,0.0,0.0,0.0,0.776
pp,0.781,0.0,0.0,0.0,0.581
pp,0.784,0.0,0.084,0.0,0.774
pp,0.815,0.0,0.29,0.207,0.698
pp,0.846,0.0,0.047,0.0,0.846
pp,0.857,0.0,0.067,0.0,0.72
pp,0.88,0.0,0.14,0.0,0.867
pp,0.933,0.0,0.086,0.0,0.93
pp,0.983,0.0,0.294,0.0,0.965
pp,0.991,0.0,0.445,0.0,0.976
pp,0.87,0.0,0.743,0.0,0.516
pp,0.99,0.0,0.704,0.0,0.944
pp,0.993,0.0,0.563,0.0,0.97
pp,0.999,0.0,0.824,0.0,0.99
pp,0.999,0.0,0.855,0.0,0.99
pp,0.994,0.0,0.095,0.209,0.976
pp,0.999,0.51,0.067,0.21,0.998
pp,0.999,0.543,0.077,0.0,0.999
pp,0.7,0.0,0.0,0.0,0.521
pp,0.709,0.049,0.051,0.0,0.432
pp,0.741,0.049,0.065,0.0,0.486
pp,0.753,0.0,0.083,0.0,0.742
pp,0.759,0.045,0.062,0.0,0.525
pp,0.789,0.0,0.042,0.0,0.595
pp,0.792,0.0,0.086,0.0,0.782
pp,0.894,0.045,0.075,0.0,0.824
